triggerPath,dataset
HLT_Dimuon0_Jpsi3p5_Muon2_v,Charmonium
HLT_Dimuon18_PsiPrime_noCorrL1_v,Charmonium
HLT_Dimuon18_PsiPrime_v,Charmonium
HLT_Dimuon25_Jpsi_noCorrL1_v,Charmonium
HLT_Dimuon25_Jpsi_v,Charmonium
HLT_DoubleMu2_Jpsi_DoubleTkMu0_Phi_v,Charmonium
HLT_DoubleMu2_Jpsi_DoubleTrk1_Phi1p05_v,Charmonium
HLT_DoubleMu4_3_Bs_v,Charmonium
HLT_DoubleMu4_JpsiTrkTrk_Displaced_v,Charmonium
HLT_DoubleMu4_JpsiTrk_Displaced_v,Charmonium
HLT_DoubleMu4_PsiPrimeTrk_Displaced_v,Charmonium
HLT_HT430_DisplacedDijet40_DisplacedTrack_v,displacedJet
HLT_HT430_DisplacedDijet60_DisplacedTrack_v,displacedJet
HLT_HT500_DisplacedDijet40_DisplacedTrack_v,displacedJet
HLT_HT650_DisplacedDijet60_Inclusive_v,displacedJet
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_v,DoubleMuon
HLT_DoubleL2Mu23NoVtx_2Cha_v,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4_v,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_v,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4_v,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_v,DoubleMuon
HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4_v,DoubleMuon
HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4_v,DoubleMuon
HLT_DoubleL2Mu50_v,DoubleMuon
HLT_DoubleMu33NoFiltersNoVtxDisplaced_v,DoubleMuon
HLT_DoubleMu40NoFiltersNoVtxDisplaced_v,DoubleMuon
HLT_DoubleMu43NoFiltersNoVtx_v,DoubleMuon
HLT_DoubleMu48NoFiltersNoVtx_v,DoubleMuon
HLT_DoubleMu4_Mass3p8_DZ_PFHT350_v,DoubleMuon
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8_v,DoubleMuon
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_v,DoubleMuon
HLT_Mu18_Mu9_SameSign_DZ_v,DoubleMuon
HLT_Mu18_Mu9_SameSign_v,DoubleMuon
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass3p8_v,DoubleMuon
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass8_v,DoubleMuon
HLT_Mu20_Mu10_SameSign_DZ_v,DoubleMuon
HLT_Mu20_Mu10_SameSign_v,DoubleMuon
HLT_Mu23_Mu12_SameSign_DZ_v,DoubleMuon
HLT_Mu23_Mu12_SameSign_v,DoubleMuon
HLT_Mu37_TkMu27_v,DoubleMuon
HLT_TripleMu_10_5_5_DZ_v,DoubleMuon
HLT_TripleMu_12_10_5_v,DoubleMuon
HLT_TripleMu_5_3_3_Mass3p8_DCA_v,DoubleMuon
HLT_TripleMu_5_3_3_Mass3p8_DZ_v,DoubleMuon
HLT_TrkMu12_DoubleTrkMu5NoFiltersNoVtx_v,DoubleMuon
HLT_TrkMu16_DoubleTrkMu6NoFiltersNoVtx_v,DoubleMuon
HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v,DoubleMuon
HLT_DoubleMu3_TkMu_DsTau3Mu_v,DoubleMuonLowMass
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v,DoubleMuonLowMass
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_Charge1_v,DoubleMuonLowMass
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_v,DoubleMuonLowMass
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v,EGamma
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_PixelVeto_Mass55_v
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_Mass55_v,EGamma
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_v,EGamma
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v,EGamma
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v,EGamma
HLT_DoubleEle25_CaloIdL_MW_v,EGamma
HLT_DoubleEle27_CaloIdL_MW_v,EGamma
HLT_DoubleEle33_CaloIdL_MW_v,EGamma
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350_v,EGamma
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v,EGamma
HLT_DoublePhoton70_v,EGamma
HLT_DoublePhoton85_v,EGamma
HLT_ECALHT800_v,EGamma
HLT_Ele115_CaloIdVT_GsfTrkIdT_v,EGamma
HLT_Ele135_CaloIdVT_GsfTrkIdT_v,EGamma
HLT_Ele145_CaloIdVT_GsfTrkIdT_v,EGamma
HLT_Ele200_CaloIdVT_GsfTrkIdT_v,EGamma
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v,EGamma
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v,EGamma
HLT_Ele250_CaloIdVT_GsfTrkIdT_v,EGamma
HLT_Ele27_Ele37_CaloIdL_MW_v,EGamma
HLT_Ele28_HighEta_SC20_Mass55_v,EGamma
HLT_Ele28_eta2p1_WPTight_Gsf_HT150_v,EGamma
HLT_Ele300_CaloIdVT_GsfTrkIdT_v,EGamma
HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v,EGamma
HLT_Ele32_WPTight_Gsf_L1DoubleEG_v,EGamma
HLT_Ele32_WPTight_Gsf_v,EGamma
HLT_Ele35_WPTight_Gsf_L1EGMT_v,EGamma
HLT_Ele35_WPTight_Gsf_v,EGamma
HLT_Ele38_WPTight_Gsf_v,EGamma
HLT_Ele38_WPTight_Gsf_v,EGamma
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v,EGamma
HLT_Photon110EB_TightID_TightIso_v,EGamma
HLT_Photon120EB_TightID_TightIso_v,EGamma
HLT_Photon200_v,EGamma
HLT_Photon300_NoHE_v,EGamma
HLT_Photon50_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_PFMET50_v,EGamma
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350MinPFJet15_v,EGamma
HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_CaloMJJ300_PFJetsMJJ400DEta3_v,EGamma
HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_CaloMJJ400_PFJetsMJJ600DEta3_v,EGamma
HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_v,EGamma
HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ600DEta3_v,EGamma
HLT_TriplePhoton_20_20_20_CaloIdLV2_R9IdVL_v,EGamma
HLT_TriplePhoton_20_20_20_CaloIdLV2_v,EGamma
HLT_TriplePhoton_30_30_10_CaloIdLV2_R9IdVL_v,EGamma
HLT_TriplePhoton_30_30_10_CaloIdLV2_v,EGamma
HLT_TriplePhoton_35_35_5_CaloIdLV2_R9IdVL_v,EGamma
HLT_HcalNZS_v,HcalNZS
HLT_HcalPhiSym_v,HcalNZS
HLT_AK8PFHT800_TrimMass50_v,JetHT
HLT_AK8PFHT850_TrimMass50_v,JetHT
HLT_AK8PFHT900_TrimMass50_v,JetHT
HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v,JetHT
HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np4_v,JetHT
HLT_AK8PFJet400_TrimMass30_v,JetHT
HLT_AK8PFJet500_v,JetHT
HLT_AK8PFJet550_v,JetHT
HLT_AK8PFJetFwd400_v,JetHT
HLT_AK8PFJetFwd450_v,JetHT
HLT_AK8PFJetFwd500_v,JetHT
HLT_CaloJet500_NoJetID_v,JetHT
HLT_CaloJet550_NoJetID_v,JetHT
HLT_DiPFJetAve300_HFJEC_v,JetHT
HLT_DoublePFJets116MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v,JetHT
HLT_DoublePFJets128MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v,JetHT
HLT_Mu12_DoublePFJets40MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v,JetHT
HLT_Mu12_DoublePFJets54MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v,JetHT
